NHSWEID,SOURCE,ORIGID,CN,STANAME,LAT,LON,ELEV,START,END,VALIDYEARS,rhonull,rhomax,Tbarstar,VP_DJF,meanmaxHS,meanpeakSWE,meanmaxSCD
52346,GHCNd,US1MNSL0006,US,HERMANTOWN 9.3 NNE,46.93,-92.1439,418.2,20110515,20171125,3,96,345,0.0978,0.2167,0.28,40,40
52347,GHCNd,US1MNSL0015,US,CHISHOLM 0.4 WSW,47.4856,-92.8869,473,20121030,20220831,10,94,358,0.0908,0.2033,0.6,116,134
52348,GHCNd,US1MNSL0108,US,IRON JUNCTION 3.4 NNW,47.4615,-92.6313,429.5,20160330,20220831,6,94,355,0.0786,0.2067,0.55,93,143
52349,GHCNd,US1MNSL0115,US,COTTON 5.7 ESE,47.1514,-92.3577,423.1,20170401,20220831,6,95,357,0.0826,0.21,0.58,97,135
52350,GHCNd,US1MNSR0024,US,PAYNESVILLE 1.9 SSW,45.3517,-94.7312,347.5,20170310,20220331,6,103,359,0.2702,0.2467,0.27,35,49
52351,GHCNd,US1MNSV0004,US,DONNELLY 2.9 NW,45.7165,-96.0604,338,20170212,20210831,5,102,355,0.2366,0.2433,0.23,42,69
52352,GHCNd,US1MNWG0002,US,COTTAGE GROVE 0.8 NW,44.8233,-92.9389,246.9,20100313,20151225,6,107,365,0.3242,0.2667,0.28,55,82
52353,GHCNd,US1MNWG0033,US,COTTAGE GROVE 1.6 NNW,44.8382,-92.9359,278.3,20130405,20220430,10,107,364,0.3159,0.2667,0.29,52,82
52354,GHCNd,US1MNWR0025,US,SAINT MICHAEL 2.0 ENE,45.2082,-93.6528,863.5,20141215,20220831,8,104,360,0.2748,0.2533,0.27,53,81
52355,GHCNd,US1MTCB0007,US,RED LODGE 1.0 S (CLOSED),45.1771,-109.2506,1711.8,20110414,20140910,4,100,366,0.2919,0.2333,0.38,90,66
52356,GHCNd,US1MTDL0001,US,ANACONDA 7.4 NW,46.1661,-113.0853,1768.1,20080613,20220522,14,102,354,0.194,0.2433,0.3,56,80
52357,GHCNd,US1MTFH0016,US,BIGFORK 3.2 ENE,48.0744,-114.012,929.6,20090406,20220831,14,125,380,0.4114,0.3533,0.46,101,70
52358,GHCNd,US1MTFH0026,US,BIGFORK 3.0 N,48.1077,-114.0643,934.5,20141122,20180408,2,125,388,0.4211,0.3533,0.62,142,99
52359,GHCNd,US1MTFH0027,US,EVERGREEN 13.7 SE,48.0754,-114.0822,949.1,20150901,20180505,3,125,378,0.4564,0.3533,0.32,65,59
52360,GHCNd,US1MTFH0030,US,KALISPELL 2.5 WNW,48.2108,-114.3675,923.5,20170320,20220831,5,127,364,0.3933,0.3633,0.14,22,41
52361,GHCNd,US1MTGN0011,US,BOZEMAN 1.5 SSE,45.6578,-111.0272,1505.1,20131015,20220831,9,107,379,0.3893,0.27,0.48,111,103
52362,GHCNd,US1MTLC0004,US,HELENA 10.6 N,46.7459,-112.0314,1242.4,20080213,20220521,15,109,369,0.4048,0.2767,0.22,36,78
52363,GHCNd,US1MTLK0015,US,BIGFORK 3.5 ESE,48.0511,-114.003,933,20180901,20220831,4,124,378,0.4102,0.35,0.43,95,64
52364,GHCNd,US1MTMS0001,US,EVARO 2.7 NNE,47.0724,-114.0798,1303,20070312,20150315,9,118,373,0.3385,0.32,0.45,89,78
52365,GHCNd,US1MTMS0012,US,MISSOULA 4.9 N,46.9392,-114.0194,1082,20080314,20220411,15,122,375,0.4217,0.34,0.32,62,62
52366,GHCNd,US1MTMS0014,US,MISSOULA 4.4 W,46.8586,-114.0997,949.1,20071204,20220412,15,126,378,0.4559,0.36,0.32,67,67
52367,GHCNd,US1MTMS0022,US,BONNER-WEST RIVERSIDE 9.4 SE,46.7888,-113.737,1045.8,20150917,20220831,7,121,370,0.382,0.3367,0.29,57,56
52368,GHCNd,US1MTMS0023,US,BONNER-WEST RIVERSIDE 4.0 SE,46.8371,-113.8279,1014.1,20160215,20220831,7,123,370,0.3687,0.3433,0.32,62,66
52369,GHCNd,US1MTMS0026,US,SEELEY LAKE 1.2 E,47.1779,-113.4599,1280.2,20170901,20220831,5,113,384,0.2726,0.2967,0.84,210,148
52370,GHCNd,US1MTRV0001,US,HAMILTON 8.8 SSW,46.1244,-114.2172,1247.9,20070311,20091119,3,120,376,0.446,0.33,0.3,57,61
52371,GHCNd,US1MTSN0002,US,NOXON 4.2 WNW,48.033,-115.85,705,20070313,20220430,10,146,391,0.5333,0.4567,0.47,132,92
52372,GHCNd,US1MTVL0013,US,GLASGOW 0.9 ESE,48.1947,-106.6125,673,20101026,20171219,8,105,355,0.2782,0.26,0.16,32,53
